행정동_코드,예측값,실제값,오차,오차퍼센트,2019년_매출_금액,2021년_매출_금액,2020년_매출_금액,2022년_매출_금액,2023년_예측_매출_금액
11170560,2311816617.0,2604155559,-292338942.0,11.22586325,6335355756.0,2676266199.0,4633385181.0,2251382901,421838122.5
11440610,1771650693.0,1551371028,220279664.6,14.19903174,606850476.0,1140534069.0,484334688.0,1259166570,1526008366.5
11170625,12600000000.0,10591535667,1994028264.0,18.82662087,3030646647.0,9884399292.0,2782893435.0,10325211324,13752087646.5
11140580,2042982627.0,2063111250,-20128623.07,0.975644094,2306090037.0,1894120488.0,1760834766.0,2162755614,1956770839.5
11200520,1382105637.0,1411686216,-29580578.9,2.095407504,774155769.0,680565714.0,730811271.0,705696483,658901455.5
11620595,5490740166.0,5845826817,-355086651.0,6.074190395,7012255677.0,5786186118.0,6210909954.0,6021527934,5408493154.5
11470680,1749998159.0,1811565045,-61566885.74,3.398546793,1004392812.0,1391864277.0,1252391310.0,1579616298,1773352030.5
11560560,2309809386.0,2104225989,205583397.2,9.770024621,1453895925.0,1453622472.0,1727728914.0,2031982293,2031845566.5
11260575,1994994439.0,2009617236,-14622797.2,0.727640913,2192249472.0,1667889177.0,2129361663.0,2328352395,2066172247.5
11380632,1322325962.0,586137480,736188482.4,125.5999672,708372126.0,624939063.0,709360659.0,594314394,552597862.5
11320680,2338175020.0,2379776349,-41601328.85,1.748119266,3282014613.0,2696813034.0,2941729362.0,2577136314,2284535524.5
11530560,6182894305.0,6458630772,-275736467.0,4.269271255,6437714148.0,7438582389.0,6082390164.0,7683658026,8184092146.5
11410555,1511355398.0,1499230320,12125077.54,0.80875349,2454399459.0,890171136.0,1399607049.0,874253055,92138893.5
11230610,1210798300.0,1104579987,106218313.5,9.616172188,720000000.0,530712405.0,720000000.0,1067311638,972667840.5
11230705,1384937208.0,1326396603,58540604.63,4.413506827,626318454.0,1128533949.0,830276811.0,1531928946,1783036693.5
11350640,7299477176.0,7470639924,-171162748.5,2.291139049,3555749100.0,5094631185.0,3964968501.0,6389401290,7158842332.5
11710610,2522470092.0,2456301147,66168945.23,2.693844984,2539727241.0,2503194768.0,2182398900.0,2602320408,2584054171.5
11650590,3098115866.0,2926454865,171661000.9,5.865834562,2181239166.0,3214684647.0,3190513863.0,3302306877,3819029617.5
11560630,1853095837.0,1578783642,274312195.1,17.37490735,2461534092.0,1737431016.0,2325104853.0,1714831254,1352779716.0
11170555,6663154451.0,6863033688,-199879237.3,2.912403558,6342796335.0,4231860345.0,4420709976.0,6007232565,4951764570.0
11560620,2676113829.0,2562607764,113506065.4,4.42931872,2505199497.0,1891387152.0,2331712023.0,1929140778,1622234605.5
11110650,10500000000.0,10741635666,-211611075.7,1.970007942,12054716340.0,7940846877.0,8405141544.0,9785465892,7728531160.5
11710570,4142420677.0,4091238108,51182569.45,1.25102886,2059175373.0,1187077413.0,1320500481.0,1373322189,937273209.0
11680565,6390342456.0,5087453757,1302888699.0,25.60983866,4828911384.0,4248407415.0,3402097356.0,4862732661,4572480676.5
11380625,6688939955.0,6391002324,297937631.4,4.661829496,1333560339.0,5166694467.0,4745159775.0,6177537909,8094104973.0
11290810,5477985302.0,5129203602,348781700.3,6.799919195,5082513855.0,4876036017.0,5175640257.0,5235646080,5132407161.0
11440680,8589815867.0,8680398432,-90582565.17,1.043530039,3087264597.0,3000159978.0,2684907816.0,4448052753,4404500443.5
11650581,7379877959.0,6614625510,765252448.7,11.56909711,2000399886.0,5476859460.0,4929505266.0,5369566839,7107796626.0
11380580,6360885545.0,6108357606,252527939.2,4.134138102,7589914884.0,5398278588.0,6900217290.0,5345081805,4249263657.0
11350695,3914587275.0,3766575150,148012125.1,3.929620921,5409793905.0,5272078890.0,5985555474.0,4596272556,4527415048.5
11590630,3820074653.0,3708602115,111472537.7,3.005783156,2331070272.0,3256750653.0,2218074399.0,3549418029,4012258219.5
11650510,7715648408.0,7939513257,-223864848.7,2.819629383,10758372495.0,9159980925.0,10122211458.0,8861847273,8062651488.0
11500615,2997591734.0,3030074463,-32482728.7,1.072010906,607289841.0,2941743474.0,588537381.0,3110746488,4277973304.5
11215847,5917423134.0,5385504213,531918921.1,9.876863894,3053689437.0,2533002204.0,2652375348.0,3385995330,3125651713.5
11200615,2202650234.0,2081538102,121112132.3,5.818396127,1447614942.0,1635406761.0,1525973877.0,2260069398,2353965307.5
11290780,1301965228.0,1110415458,191549769.7,17.25027946,1467449097.0,937139394.0,1564021467.0,1159740321,894585469.5
11260590,5149393660.0,4886776536,262617123.9,5.374035869,5568174126.0,4181041665.0,4369550190.0,4279966203,3586399972.5
11710580,9348929401.0,9830022531,-481093130.1,4.894120319,6515440092.0,9878353374.0,8254774191.0,10954468272,12635924913.0
11650652,8540205532.0,8946296955,-406091423.4,4.53921243,3807790557.0,5081189649.0,5504988057.0,6875865342,7512564888.0
11740570,2575569734.0,2574276252,1293481.596,0.0502464176,2691785130.0,2042732475.0,2258519550.0,2374450776,2049924448.5
11680700,2250619108.0,2119980552,130638555.9,6.162252563,1313415207.0,972586503.0,1336414881.0,2422921329,2252506977.0
11560605,6018046789.0,5836194111,181852678.2,3.115946364,4993233399.0,4524187098.0,4064305125.0,6114337815,5879814664.5
11305535,3087843568.0,3215964495,-128120926.9,3.98390365,4944917829.0,4612632195.0,4938534456.0,4679704182,4513561365.0
11230560,5421966978.0,5367552486,54414491.96,1.013767301,8980511592.0,6083302599.0,8221080366.0,5964996492,4516391995.5
